expense_id,date,amount,category,payment_method
249,2023-10-07,9100.15,Transportation,Debit Card
250,2023-06-01,5638.52,Transportation,Cash
251,2023-01-01,3660.57,Living Expenses,Credit Card
252,2022-07-12,4514.03,Utilities,Credit Card
253,2022-06-02,2078.89,Entertainment,Credit Card
254,2022-10-07,6501.78,Dine Out,Cash
255,2023-03-20,7113.1,Clothing,Cash
256,2022-10-20,2429.87,Dine Out,Credit Card
257,2022-11-19,6282.17,Dine Out,Cash
258,2022-05-16,1015.2,Living Expenses,Credit Card
259,2023-07-16,7914.44,Clothing,Mobile Payment
260,2022-12-27,8920.48,Entertainment,Mobile Payment
261,2023-12-23,6070.08,Living Expenses,Debit Card
262,2022-04-03,7634.37,Utilities,Credit Card
263,2022-10-14,6438.91,Living Expenses,Mobile Payment
264,2022-03-03,7040.14,Entertainment,Debit Card
265,2023-07-16,9450.25,Groceries,Credit Card
266,2022-08-03,8163.82,Transportation,Cash
267,2022-06-05,812.42,Transportation,Debit Card
268,2022-04-28,2555.02,Living Expenses,Debit Card
269,2023-01-30,2044.85,Charity,Debit Card
270,2022-02-18,4890.09,Medical,Cash
271,2022-02-19,69.31,Utilities,Debit Card
272,2022-04-10,1232.89,Charity,Cash
273,2022-10-12,7765.47,Transportation,Credit Card
274,2023-11-30,2007.91,Utilities,Mobile Payment
275,2022-08-24,6733.7,Clothing,Debit Card
276,2023-08-18,1725.21,Clothing,Mobile Payment
277,2023-02-10,4720.34,Groceries,Debit Card
278,2022-08-05,5378.09,Entertainment,Cash
279,2022-04-20,3660.98,Dine Out,Cash
280,2022-02-25,2406.03,Medical,Mobile Payment
281,2022-06-24,1141.45,Clothing,Debit Card
282,2023-07-23,6111.21,Charity,Mobile Payment
283,2022-11-20,9333.78,Clothing,Mobile Payment
284,2022-10-21,3211.43,Transportation,Credit Card
285,2023-09-03,8108.13,Groceries,Credit Card
286,2023-01-31,4173.08,Entertainment,Debit Card
287,2022-09-02,4529.5,Medical,Debit Card
288,2022-12-25,5901.12,Living Expenses,Credit Card
289,2022-11-24,1458.59,Dine Out,Cash
290,2023-05-03,4055.81,Groceries,Mobile Payment
291,2022-07-29,4473.07,Entertainment,Debit Card
292,2023-07-07,2001.38,Groceries,Credit Card
293,2023-04-19,7358.6,Utilities,Credit Card
294,2023-08-13,3179.0,Groceries,Cash
295,2022-07-18,11.91,Transportation,Cash
296,2022-10-19,7152.75,Dine Out,Credit Card
297,2022-01-25,3431.84,Living Expenses,Cash
298,2022-04-30,1289.22,Clothing,Cash
299,2022-01-23,5480.15,Groceries,Cash
300,2022-04-01,9491.65,Medical,Credit Card
301,2023-02-24,3030.92,Charity,Credit Card
302,2023-03-10,5655.52,Utilities,Cash
303,2022-11-14,9907.98,Dine Out,Credit Card
304,2023-06-06,326.14,Entertainment,Mobile Payment
305,2022-07-19,9984.42,Medical,Cash
306,2022-05-12,6642.9,Entertainment,Cash
307,2022-11-19,2819.38,Medical,Mobile Payment
308,2022-07-15,4287.21,Utilities,Cash
309,2023-01-26,8223.97,Entertainment,Cash
310,2023-07-10,235.22,Medical,Mobile Payment
311,2022-09-11,4676.02,Utilities,Credit Card
312,2023-06-25,61.85,Transportation,Cash
313,2022-06-22,9165.88,Utilities,Cash
314,2022-03-17,2476.57,Charity,Mobile Payment
315,2023-05-02,4660.61,Groceries,Mobile Payment
316,2022-03-08,6266.29,Groceries,Credit Card
317,2022-10-28,8586.33,Entertainment,Credit Card
318,2023-10-10,6886.07,Living Expenses,Debit Card
319,2022-10-06,7028.89,Utilities,Credit Card
320,2023-02-25,9018.01,Transportation,Mobile Payment
321,2022-03-10,1943.48,Entertainment,Credit Card
322,2022-05-06,157.53,Transportation,Cash
323,2022-06-04,3924.45,Clothing,Mobile Payment
324,2023-11-23,8205.31,Medical,Cash
325,2022-09-22,2812.27,Clothing,Cash
326,2023-04-19,526.55,Clothing,Credit Card
327,2023-10-01,2691.79,Groceries,Credit Card
328,2022-09-17,5495.12,Dine Out,Mobile Payment
329,2023-11-08,5416.88,Clothing,Credit Card
330,2022-09-15,621.37,Utilities,Cash
331,2022-12-25,7090.33,Utilities,Mobile Payment
332,2022-06-04,1556.82,Medical,Cash
333,2022-06-11,732.9,Transportation,Mobile Payment
334,2022-11-22,1767.48,Dine Out,Mobile Payment
335,2023-01-11,3651.77,Clothing,Cash
336,2023-06-15,7883.99,Transportation,Cash
337,2023-09-27,3513.73,Living Expenses,Cash
338,2023-09-22,3049.02,Transportation,Mobile Payment
339,2022-08-22,622.32,Entertainment,Mobile Payment
340,2023-03-03,4571.04,Living Expenses,Cash
341,2022-09-20,804.69,Dine Out,Debit Card
342,2023-09-17,3995.8,Dine Out,Cash
343,2022-06-14,7428.71,Entertainment,Mobile Payment
344,2023-05-20,823.23,Dine Out,Credit Card
345,2023-02-09,7180.68,Transportation,Debit Card
346,2023-04-10,3725.94,Dine Out,Mobile Payment
347,2022-07-07,7280.83,Dine Out,Cash
348,2022-07-27,99.26,Medical,Mobile Payment
349,2023-06-26,7560.71,Clothing,Debit Card
350,2022-09-22,9653.49,Living Expenses,Credit Card
351,2022-07-03,1298.85,Medical,Debit Card
352,2022-02-03,1434.96,Groceries,Debit Card
353,2022-10-14,2403.11,Dine Out,Credit Card
354,2023-10-29,1642.37,Utilities,Debit Card
355,2023-05-03,634.97,Utilities,Debit Card
356,2023-06-11,6186.69,Transportation,Credit Card
357,2023-08-15,2355.61,Living Expenses,Cash
358,2023-03-27,1833.26,Dine Out,Credit Card
359,2023-05-08,9942.81,Dine Out,Credit Card
360,2022-11-02,3409.09,Groceries,Debit Card
361,2023-02-02,8073.39,Entertainment,Mobile Payment
362,2022-12-02,9220.1,Groceries,Debit Card
363,2022-12-16,3320.43,Transportation,Credit Card
364,2023-08-21,7968.87,Entertainment,Debit Card
365,2022-01-19,123.4,Clothing,Mobile Payment
366,2022-10-10,8935.76,Charity,Credit Card
367,2023-03-23,4760.71,Medical,Mobile Payment
368,2023-08-18,8274.29,Living Expenses,Credit Card
369,2023-08-15,5336.16,Groceries,Debit Card
370,2023-05-15,6369.76,Medical,Mobile Payment
371,2023-09-24,7251.21,Dine Out,Cash
372,2022-07-17,5062.87,Living Expenses,Cash
373,2022-02-13,5309.2,Medical,Mobile Payment
374,2023-06-27,2448.21,Clothing,Cash
375,2023-02-20,7949.34,Transportation,Debit Card
376,2022-02-05,1917.01,Entertainment,Debit Card
377,2022-04-14,4105.87,Utilities,Mobile Payment
378,2022-05-14,2170.11,Utilities,Mobile Payment
379,2022-08-20,8187.42,Medical,Credit Card
380,2023-04-21,810.6,Clothing,Mobile Payment
381,2022-07-11,5440.66,Entertainment,Debit Card
382,2023-10-23,4949.38,Medical,Credit Card
383,2022-06-04,3325.02,Living Expenses,Mobile Payment
384,2022-04-06,9248.43,Utilities,Credit Card
385,2022-05-15,3007.01,Utilities,Credit Card
386,2022-11-01,2957.8,Clothing,Credit Card
387,2022-07-07,6726.51,Entertainment,Debit Card
388,2022-04-27,7897.14,Transportation,Debit Card
389,2023-12-19,3540.28,Medical,Cash
390,2022-01-20,5589.54,Dine Out,Credit Card
391,2022-07-17,8680.19,Utilities,Credit Card
392,2023-12-12,1313.12,Entertainment,Mobile Payment
393,2022-01-09,1768.14,Medical,Mobile Payment
394,2022-07-25,5928.61,Groceries,Debit Card
395,2022-04-28,9909.22,Living Expenses,Debit Card
396,2023-08-16,1383.47,Medical,Credit Card
397,2023-05-30,2461.27,Medical,Mobile Payment
398,2022-09-22,1282.04,Groceries,Credit Card
399,2023-03-17,7203.92,Utilities,Cash
400,2022-02-16,2345.55,Charity,Credit Card
401,2022-11-10,219.6,Charity,Debit Card
402,2023-08-28,2436.75,Clothing,Mobile Payment
403,2023-05-15,6224.18,Charity,Credit Card
404,2022-04-25,2500.97,Transportation,Debit Card
405,2022-03-18,4197.59,Charity,Debit Card
406,2022-05-31,5803.76,Living Expenses,Credit Card
407,2022-04-02,9093.4,Charity,Mobile Payment
408,2022-03-03,8996.16,Groceries,Credit Card
409,2023-10-13,7279.95,Dine Out,Debit Card
410,2022-06-22,8560.64,Utilities,Debit Card
411,2022-03-23,6635.46,Groceries,Mobile Payment
412,2023-06-24,7054.01,Transportation,Debit Card
413,2022-07-17,184.7,Medical,Debit Card
414,2022-07-19,8908.57,Entertainment,Cash
415,2023-06-21,4445.1,Utilities,Credit Card
416,2022-03-30,7294.3,Groceries,Debit Card
417,2022-02-25,2303.06,Groceries,Cash
418,2023-07-13,7992.26,Living Expenses,Credit Card
419,2022-12-02,1884.74,Medical,Debit Card
420,2023-02-10,2362.97,Dine Out,Mobile Payment
421,2023-02-19,9628.87,Medical,Cash
422,2022-08-15,1010.54,Dine Out,Mobile Payment
423,2023-04-26,7696.37,Medical,Credit Card
424,2023-01-08,5931.28,Groceries,Credit Card
425,2023-02-20,715.57,Clothing,Cash
426,2023-07-31,3923.24,Utilities,Cash
427,2023-03-13,719.86,Living Expenses,Mobile Payment
428,2023-11-10,2429.43,Charity,Cash
429,2022-11-18,3584.82,Entertainment,Debit Card
430,2023-06-24,8776.88,Clothing,Cash
431,2022-07-24,9771.63,Dine Out,Debit Card
432,2022-08-13,8913.26,Transportation,Cash
433,2022-04-25,1214.08,Living Expenses,Mobile Payment
434,2022-11-26,4770.95,Transportation,Cash
435,2023-03-02,2176.15,Transportation,Mobile Payment
436,2023-05-03,8850.51,Entertainment,Cash
437,2023-04-17,8528.98,Transportation,Mobile Payment
438,2022-01-06,9757.33,Medical,Cash
439,2022-10-26,8042.11,Charity,Debit Card
440,2023-11-04,2669.84,Charity,Debit Card
441,2022-10-23,8574.34,Groceries,Debit Card
442,2022-06-10,9187.17,Clothing,Credit Card
443,2023-08-10,6317.66,Dine Out,Debit Card
444,2022-06-05,1751.87,Entertainment,Credit Card
445,2023-11-16,9203.91,Dine Out,Cash
446,2022-06-23,98.24,Utilities,Debit Card
447,2023-06-28,679.1,Clothing,Credit Card
448,2022-10-10,4160.46,Clothing,Mobile Payment
449,2022-12-21,3598.51,Utilities,Mobile Payment
450,2022-02-16,377.79,Groceries,Debit Card
451,2022-06-05,6057.55,Entertainment,Mobile Payment
452,2022-12-19,3133.54,Living Expenses,Cash
453,2022-11-18,3744.79,Dine Out,Cash
454,2022-05-20,620.31,Groceries,Debit Card
455,2023-09-30,2673.13,Groceries,Mobile Payment
456,2022-12-03,7487.83,Living Expenses,Cash
457,2022-07-23,4804.31,Transportation,Cash
458,2023-05-30,8858.45,Entertainment,Credit Card
459,2022-10-22,2644.24,Dine Out,Debit Card
460,2023-02-01,9500.55,Living Expenses,Debit Card
461,2022-03-26,9769.2,Dine Out,Cash
462,2022-08-19,3764.27,Utilities,Cash
463,2022-11-08,1893.31,Clothing,Mobile Payment
464,2023-12-15,692.7,Clothing,Credit Card
465,2023-08-18,9470.93,Charity,Debit Card
466,2023-08-15,2087.58,Clothing,Cash
467,2023-06-26,7236.87,Charity,Debit Card
468,2023-08-15,446.1,Charity,Credit Card
469,2022-11-11,5743.24,Utilities,Debit Card
470,2023-09-18,2202.48,Clothing,Cash
471,2022-11-09,5278.66,Clothing,Debit Card
472,2022-03-13,5623.51,Utilities,Mobile Payment
473,2022-04-24,3258.9,Charity,Credit Card
474,2022-02-07,716.62,Living Expenses,Debit Card
475,2023-11-14,9805.52,Dine Out,Cash
476,2022-01-27,7939.67,Living Expenses,Cash
477,2022-05-11,1878.69,Utilities,Cash
478,2023-04-28,9972.84,Entertainment,Mobile Payment
479,2023-03-06,7330.14,Clothing,Cash
480,2023-11-09,4859.93,Clothing,Credit Card
481,2023-10-13,5842.62,Entertainment,Cash
482,2023-06-10,7104.02,Entertainment,Cash
483,2023-08-18,2601.42,Clothing,Cash
484,2022-06-22,4632.69,Utilities,Debit Card
485,2022-09-19,8599.21,Charity,Debit Card
486,2023-09-17,4570.28,Dine Out,Credit Card
487,2023-10-23,3627.87,Entertainment,Mobile Payment
488,2023-05-05,3405.8,Clothing,Mobile Payment
489,2023-10-22,824.09,Living Expenses,Credit Card
490,2022-01-11,3816.81,Living Expenses,Mobile Payment
491,2023-11-01,4956.35,Utilities,Debit Card
492,2023-01-04,9372.77,Entertainment,Debit Card
493,2022-04-03,3468.02,Living Expenses,Cash
494,2022-10-16,7342.5,Dine Out,Debit Card
495,2022-08-14,7420.94,Living Expenses,Mobile Payment
496,2022-05-17,2731.24,Entertainment,Cash
497,2023-02-26,9872.75,Charity,Cash
498,2023-04-05,3874.95,Entertainment,Cash
499,2022-02-08,9432.49,Utilities,Mobile Payment
500,2022-07-29,5680.97,Groceries,Cash
501,2022-02-23,4984.39,Groceries,Cash
502,2022-11-27,8836.94,Entertainment,Debit Card
503,2023-11-15,5547.88,Utilities,Credit Card
504,2023-05-01,4081.73,Utilities,Cash
505,2022-05-09,5847.72,Transportation,Mobile Payment
506,2023-03-14,7876.54,Charity,Mobile Payment
507,2022-08-30,2372.6,Entertainment,Credit Card
508,2023-03-21,906.62,Living Expenses,Mobile Payment
509,2022-01-20,7149.83,Charity,Cash
510,2023-09-21,9886.14,Groceries,Cash
511,2023-06-05,6482.8,Utilities,Mobile Payment
512,2022-09-18,3428.3,Living Expenses,Mobile Payment
513,2022-11-23,3061.52,Entertainment,Credit Card
514,2022-01-12,5756.77,Clothing,Cash
515,2022-07-24,6013.09,Dine Out,Mobile Payment
516,2023-08-16,736.8,Living Expenses,Credit Card
517,2022-06-28,1576.54,Transportation,Mobile Payment
518,2022-07-13,5571.19,Entertainment,Cash
519,2022-02-27,2928.7,Transportation,Credit Card
520,2022-06-13,4005.34,Utilities,Debit Card
521,2023-09-12,5219.51,Transportation,Mobile Payment
522,2023-05-26,8059.93,Transportation,Cash
523,2022-04-06,8355.87,Dine Out,Credit Card
524,2022-01-28,5723.85,Charity,Debit Card
525,2022-09-05,4175.0,Living Expenses,Credit Card
526,2023-02-28,4078.62,Medical,Cash
527,2023-11-14,3107.72,Medical,Mobile Payment
528,2022-11-26,8170.38,Utilities,Credit Card
529,2023-10-25,3660.77,Clothing,Debit Card
530,2023-07-14,7756.45,Transportation,Mobile Payment
531,2023-06-13,745.98,Medical,Cash
532,2023-12-10,832.12,Entertainment,Mobile Payment
533,2022-02-13,3221.6,Entertainment,Credit Card
534,2023-03-07,4810.15,Living Expenses,Credit Card
535,2023-09-04,3043.6,Utilities,Credit Card
536,2023-04-09,6395.11,Dine Out,Cash
537,2022-08-29,5873.82,Utilities,Credit Card
538,2023-03-13,9135.58,Medical,Cash
539,2023-03-20,260.97,Transportation,Mobile Payment
540,2022-03-02,2951.95,Groceries,Credit Card
541,2023-06-29,6010.76,Charity,Credit Card
542,2022-09-13,2524.9,Utilities,Cash
543,2023-02-02,5056.46,Transportation,Mobile Payment
544,2022-05-07,8109.22,Medical,Debit Card
545,2022-08-15,5795.41,Living Expenses,Cash
546,2022-08-27,3828.11,Medical,Credit Card
547,2023-04-12,9579.71,Utilities,Mobile Payment
548,2022-12-16,6841.88,Transportation,Cash
549,2023-11-25,3532.61,Entertainment,Credit Card
550,2023-10-03,8014.06,Dine Out,Mobile Payment
551,2023-09-18,3161.16,Entertainment,Debit Card
552,2023-10-13,6037.92,Charity,Debit Card
553,2022-04-11,7313.82,Entertainment,Credit Card
554,2023-12-30,9272.28,Transportation,Debit Card
