Directorate,Type of Expenditure,Supplier,£
Environment,Project Expenses,Richmond Citizens Advice,"13,500.00"
Adult & Community Services,Miscellaneous Expens,RAKAT Ltd,"13,325.13"
Adult & Community Services,Residential Care,Independence Homes Ltd,"13,308.30"
Childrens' & Cultural Services,Residential Care,Direct Care Limited,"13,263.66"
Childrens' & Cultural Services,Residential Care,Safe Start Foundation,"13,142.20"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"12,988.55"
Childrens' & Cultural Services,Residential Care,Direct Care Limited,"12,835.80"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"12,726.07"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"12,726.07"
Environment,Minor Contract Payme,F M Conway Limited,"12,724.74"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"12,663.50"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"12,642.11"
Environment,Rents Payable,Savills Commercial Ltd,"12,568.50"
Childrens' & Cultural Services,Furniture & Equipmen,Silveroak Construction Ltd,"12,500.00"
Housing,Supported Living,Age Concern Richmond upon Thames,"12,500.00"
Adult & Community Services,Home Care,Supporta Care Limited,"12,460.19"
Childrens' & Cultural Services,Property Main-Progam,Telson Construction Limited,"12,407.53"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"12,255.00"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"12,234.30"
Adult & Community Services,Residential Care,Care Aspirations,"12,189.69"
Childrens' & Cultural Services,Residential Care,Active Serve Ltd,"12,056.44"
Environment,Premises Insurance P,Salaft Properties Ltd,"11,867.42"
Adult & Community Services,Residential Care,The Mount Camphill Community Ltd.,"11,853.95"
Finance & Corporate Services,ICT expenditure,Probrand Ltd,"11,796.70"
Adult & Community Services,Home Care,Supporta Care Limited,"11,787.73"
Childrens' & Cultural Services,Residential Care,Ethelbert Specialist Homes ltd,"11,787.60"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"11,607.99"
Childrens' & Cultural Services,Grants School Donati,Richmond & Twickenham PCT Provider,"11,550.76"
Childrens' & Cultural Services,Residential Care,SIRON Ltd Jamma Umoja,"11,501.00"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"11,494.51"
Childrens' & Cultural Services,Subscriptions,London Grid For Learning Trust,"11,476.33"
Childrens' & Cultural Services,Respite Care,The Bendrigg Trust,"11,343.00"
Finance & Corporate Services,ICT expenditure,Probrand Ltd,"11,309.10"
Adult & Community Services,Miscellaneous Expens,Advocacy Partners,"11,250.00"
Adult & Community Services,Home Care,Supporta Care Limited,"11,208.06"
Finance & Corporate Services,Postage,Royal Mail Group Ltd,"11,150.29"
Adult & Community Services,Miscellaneous Expens,Richmond Users Independent,"11,124.12"
Adult & Community Services,Miscellaneous Expens,Richmond Users Independent,"11,124.12"
Childrens' & Cultural Services,Brought Professional,Richmond & Twickenham PCT Provider,"11,084.00"
Adult & Community Services,Residential Care,The Mount Camphill Community Ltd.,"10,942.10"
Adult & Community Services,Residential Care,The Home Farm Trust Ltd,"10,663.40"
Environment,Rents Payable,THE CROWN ESTATE CLUTTONS LLP,"10,625.00"
Adult & Community Services,Residential Care,Royal Mencap Society,"10,480.44"
Adult & Community Services,Residential Care,Royal Mencap Society,"10,480.44"
Adult & Community Services,Supported Living,Flexible Support Options UK Ltd,"10,457.08"
Adult & Community Services,Supported Living,Flexible Support Options UK Ltd,"10,457.08"
Adult & Community Services,Supported Living,Flexible Support Options UK Ltd,"10,457.08"
Environment,Energy - Electricity,Kent County Council(Kcs),"10,419.70"
Childrens' & Cultural Services,Home-School Travel,London Borough of Hounslow,"10,391.00"
Childrens' & Cultural Services,Contrib to Provs,Richmond Upon Thames Schools,"10,322.00"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"10,299.87"
Environment,Rents Payable,Savills Commercial Ltd,"10,212.08"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"10,200.87"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"10,194.83"
Adult & Community Services,Residential Care,Royal Mencap Society,"10,142.45"
Adult & Community Services,Residential Care,Royal Mencap Society,"10,142.45"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"10,072.56"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"10,045.57"
Environment,Rents Payable,Savills Commercial Ltd,"10,003.88"
Childrens' & Cultural Services,Grants Volunt Orgs,Richmond Council For,"10,000.00"
Adult & Community Services,External Consultants,Strategic Commissioning,"9,979.64"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"9,888.00"
Childrens' & Cultural Services,Independent Foster,Kaleidoscope Theraputic,"9,742.68"
Environment,Minor Contract Payme,F M Conway Limited,"9,723.00"
Environment,Photocopier Expenses,Siemens Financial Services Limited,"9,615.00"
Childrens' & Cultural Services,Independent Schools,Jemini Response Ltd,"9,600.00"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"9,595.60"
Childrens' & Cultural Services,Miscellaneous Client,Safehouses,"9,498.09"
Housing,Assessible Trans Ser,Bats - Accounts Office,"9,453.00"
Adult & Community Services,PFI Pymnts to Cntr,Care Uk Community Partnerships Ltd,"9,442.67"
Housing,Assessible Trans Ser,Bats - Accounts Office,"9,185.00"
Childrens' & Cultural Services,Brought Professional,Richmond Council For,"9,139.00"
Adult & Community Services,property Maintenance,Paragon Community Housing Group Ltd,"9,089.42"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"8,916.74"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"8,908.80"
Adult & Community Services,Home Care,Enara Community Care,"8,908.18"
Adult & Community Services,Miscellaneous Expens,Richmond Users Independent,"8,876.00"
Adult & Community Services,Residential Care,ILIACE Ltd,"8,875.21"
Childrens' & Cultural Services,Brought Professional,Eleanor Pritchard,"8,835.99"
Childrens' & Cultural Services,CSC Grnt fnding serv,Maria Grey Nursery School,"8,800.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,MILKSHAKE MONTESSORI SCHOOL,"8,800.00"
Adult & Community Services,Grants Volunt Orgs,Advocacy Partners,"8,770.00"
Childrens' & Cultural Services,Other Local Authorit,Royal Borough Of Kingston,"8,626.00"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,607.28"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,607.28"
Adult & Community Services,Home Care,Enara Community Care,"8,604.08"
Adult & Community Services,Residential Care,ILIACE Ltd,"8,588.91"
Childrens' & Cultural Services,Residential Care,Melrope Ltd,"8,537.40"
Adult & Community Services,Home Care,Enara Community Care,"8,530.19"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"8,527.97"
Environment,Minor Contract Payme,Environment Agency (Thames Region),"8,445.50"
Adult & Community Services,Residential Care,EQUINOX,"8,413.40"
Adult & Community Services,Grants Volunt Orgs,Hampton And Hampton Hill Voluntary,"8,401.50"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,329.56"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,329.51"
Adult & Community Services,Residential Care,London Care Progress Ltd T/A,"8,303.57"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,292.10"
Childrens' & Cultural Services,Residential Care,Melrope Ltd,"8,262.00"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"8,223.83"
Adult & Community Services,Home Care,Supporta Care Limited,"8,210.39"
Adult & Community Services,Grants Comm Groups,Richmond Borough Association,"8,181.00"
Childrens' & Cultural Services,Other Materials,DF20 Limited,"8,172.00"
Adult & Community Services,Residential Care,Royal Mencap Society,"8,163.21"
Environment,Street Cleansing,Veolia ES (UK) Limited,"8,161.46"
Adult & Community Services,Residential Care,ILIACE Ltd,"8,151.05"
Adult & Community Services,Residential Care,EQUINOX,"8,142.00"
Adult & Community Services,Residential Care,EQUINOX,"8,142.00"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"8,100.00"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"8,045.61"
Adult & Community Services,Residential Care,London Care Progress Ltd T/A,"8,035.71"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"8,023.11"
Adult & Community Services,Residential Care,Orchard End Ltd,"8,022.36"
Environment,Furniture & Equipmen,Cleveland Sitesafe Ltd,"8,018.00"
Childrens' & Cultural Services,Residential Care,NSPCC Registered Charity,"8,000.00"
Adult & Community Services,Residential Care,Surrey & Borders Partnership,"7,958.64"
Childrens' & Cultural Services,Project Expenses,RICHMOND YOUTH PARTNERSHIP,"7,935.00"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"7,903.42"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"7,903.42"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"7,903.42"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,888.11"
Adult & Community Services,Home Care,Enara Community Care,"7,854.85"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"7,845.50"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,829.36"
Adult & Community Services,Home Care,Supporta Care Limited,"7,809.25"
Adult & Community Services,Home Care,Enara Community Care,"7,795.74"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"7,786.11"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,770.20"
Adult & Community Services,Residential Care,Orchard End Ltd,"7,763.57"
Environment,Highway Salt,Salt Union Ltd,"7,746.87"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"7,715.36"
Childrens' & Cultural Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"7,700.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"7,684.00"
Environment,Waste Contract,Veolia ES (UK) Limited,"7,684.00"
Adult & Community Services,Residential Care,Hampton Care Ltd,"7,683.00"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"7,580.00"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,576.80"
Adult & Community Services,Residential Care,Nas Services Ltd,"7,574.76"
Environment,Purchase-Diesel Fuel,Arval PHH Ltd,"7,554.20"
Adult & Community Services,property Maintenance,Paragon Community Housing Group Ltd,"7,533.40"
Finance & Corporate Services,ICT expenditure,Probrand Ltd,"7,530.00"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,519.54"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,515.73"
Adult & Community Services,Home Care,Enara Community Care,"7,506.55"
Childrens' & Cultural Services,Grants Volunt Orgs,Richmond Council For,"7,500.00"
Childrens' & Cultural Services,Miscellaneous Expens,Richmond Council For,"7,500.00"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"7,462.00"
Environment,Cleaning Contract,Wetton Cleaning Services Ltd,"7,455.99"
Adult & Community Services,Residential Care,RNIB Redhill College,"7,453.42"
Adult & Community Services,Home Care,Supporta Care Limited,"7,447.89"
Environment,Minor Contract Payme,F M Conway Limited,"7,401.15"
Adult & Community Services,Residential Care,Choice Ltd,"7,371.43"
Adult & Community Services,Residential Care,Choice Ltd,"7,371.30"
Adult & Community Services,Residential Care,Choice Ltd,"7,371.30"
Adult & Community Services,Residential Care,Choice Ltd,"7,371.30"
Adult & Community Services,Residential Care,Choice Ltd,"7,371.30"
Adult & Community Services,Residential Care,Castlebeck Care (Teesdale) Ltd,"7,356.26"
Adult & Community Services,Residential Care,Nas Services Ltd,"7,330.41"
Adult & Community Services,Residential Care,Nas Services Ltd,"7,330.41"
Adult & Community Services,Residential Care,ILIACE Ltd,"7,273.28"
Adult & Community Services,External Consultants,Permanent Futures Ltd,"7,200.00"
Adult & Community Services,Residential Care,St Mary's House,"7,200.00"
Adult & Community Services,Supported Living,Clydesdale Bank Invoice Finance,"7,160.00"
Adult & Community Services,Supported Living,Clydesdale Bank Invoice Finance,"7,160.00"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"7,157.59"
Adult & Community Services,Residential Care,Castlebeck Care (Teesdale) Ltd,"7,118.96"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"7,116.48"
Adult & Community Services,Grants Comm Groups,Addiction Support And Care Agency,"7,100.00"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"7,091.71"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"7,047.04"
Adult & Community Services,Residential Care,Downing (Congress House) Limited,"7,019.06"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"7,000.00"
Adult & Community Services,Supported Living,Richmond Homes For Life Trust,"6,922.88"
Environment,Highway Salt,Salt Union Ltd,"6,919.90"
Environment,Highway Salt,Salt Union Ltd,"6,910.77"
Adult & Community Services,Residential Care,The Regard Partnership Ltd,"6,835.03"
Adult & Community Services,Residential Care,Richmond Homes For Life Trust,"6,825.77"
Environment,Recycling Inert Pay,Environmental Waste Metals Limited,"6,819.12"
Adult & Community Services,Residential Care,Downing (Congress House) Limited,"6,792.64"
Adult & Community Services,Residential Care,Downing (Congress House) Limited,"6,792.64"
Finance & Corporate Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"6,777.00"
Environment,Software Development,Pitney Bowes Mapinfo Limited,"6,680.16"
Environment,Street Cleansing,Veolia ES (UK) Limited,"6,640.80"
Adult & Community Services,Residential Care,High Hurlands Homes,"6,566.24"
Adult & Community Services,Residential Care,The Pines,"6,551.96"
Environment,Software Development,Pitney Bowes Mapinfo Limited,"6,551.69"
Adult & Community Services,Residential Care,Castlebeck Care (Teesdale) Ltd,"6,509.87"
Adult & Community Services,Supported Living,A F J Simmons Family Settlement,"6,496.88"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,495.08"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,495.08"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,494.85"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,494.85"
Housing,Energy - Gas,British Gas Service Limited,"6,475.32"
Environment,Recycling Inert Pay,Environmental Waste Metals Limited,"6,401.52"
Housing,Reactive Maint (DSO),Bats - Accounts Office,"6,393.00"
Adult & Community Services,Residential Care,High Hurlands Homes,"6,354.43"
Childrens' & Cultural Services,CSC Grnt fnding serv,Elizabeth Jarman Training Ltd,"6,350.00"
Adult & Community Services,Residential Care,Castlebeck Care (Teesdale) Ltd,"6,299.87"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,285.49"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,285.49"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,285.44"
Adult & Community Services,Residential Care,Royal Mencap Society,"6,285.44"
Childrens' & Cultural Services,London Grid Contract,London Grid For Learning,"6,267.91"
Adult & Community Services,Home Care,Careforce,"6,198.43"
Childrens' & Cultural Services,CSC Grnt fnding serv,Twickenham Experience Ltd,"6,195.00"
Childrens' & Cultural Services,Contrib to Provs,Richmond Upon Thames Schools,"6,157.00"
Childrens' & Cultural Services,Library Books,Askews Library Services ltd,"6,125.99"
Housing,Assessible Trans Ser,Oakmarket Group Ltd,"6,125.69"
Adult & Community Services,Residential Care,High Hurlands Homes,"6,125.34"
Adult & Community Services,Residential Care,Care Management Group Limited,"6,118.33"
Adult & Community Services,Home Care,Careforce,"6,105.57"
Adult & Community Services,Residential Care,Caretech Community Services Ltd.,"6,098.01"
Childrens' & Cultural Services,Independent Foster,Credo Care Ltd,"6,052.00"
Childrens' & Cultural Services,Independent Foster,Credo Care Ltd,"6,052.00"
Adult & Community Services,Residential Care,Priory Rehabilitation Services Ltd,"6,041.99"
Finance & Corporate Services,Ordnc Srvy fee & roy,Local Government Information,"6,028.60"
Adult & Community Services,Home Care,Careforce,"6,001.29"
Childrens' & Cultural Services,External Consultants,BDO Stoy Hayward LLP,"6,000.00"
Adult & Community Services,External Consultants,BDO Stoy Hayward LLP,"6,000.00"
Childrens' & Cultural Services,Project Expenses,Project for Children with Special,"6,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"6,000.00"
Environment,Highway Salt,Salt Union Ltd,"5,988.98"
Finance & Corporate Services,Miscellaneous Expens,Plum Duff,"5,950.00"
Adult & Community Services,Residential Care,High Hurlands Homes,"5,927.74"
Finance & Corporate Services,CRB Checks,Criminal Records Bureau,"5,904.00"
Adult & Community Services,Residential Care,Caretech Community Services Ltd.,"5,901.39"
Adult & Community Services,Residential Care,Caretech Community Services Ltd.,"5,901.30"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,877.87"
Childrens' & Cultural Services,Grants Volunt Orgs,Combination Dance Company,"5,795.00"
Adult & Community Services,Home Care,Careforce,"5,785.58"
Environment,Premises Insurance P,Salaft Properties Ltd,"5,738.93"
Adult & Community Services,Home Care,Home From Hospital Ltd,"5,713.99"
Adult & Community Services,Home Care,Home From Hospital Ltd,"5,711.62"
Environment,Structural Calculati,Galbraith Hunt Pennington,"5,709.56"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,702.62"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,671.11"
Childrens' & Cultural Services,Respite Care,Crossroads Care,"5,647.25"
Housing,property Maintenance,Wedmore Construction Ltd,"5,605.00"
Adult & Community Services,Residential Care,St Mungo  Housing Association Ltd,"5,601.12"
Adult & Community Services,Employee Recruitment,GATENBYSANDERSON LIMITED,"5,600.00"
Environment,Landlord Service,Savills Commercial Ltd,"5,596.70"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,575.64"
Childrens' & Cultural Services,Independent Foster,Integrated Services Programme,"5,562.90"
Childrens' & Cultural Services,property Maintenance,BIBBY FACTORS NORTHEAST LIMITED,"5,562.00"
Adult & Community Services,Home Care,Careforce,"5,560.07"
Adult & Community Services,Nursing Care,Grafton Manor,"5,547.76"
Adult & Community Services,Nursing Care,The Raphael Medical Centre,"5,545.20"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,531.45"
Childrens' & Cultural Services,Grants School Donati,Richmond & Twickenham PCT Provider,"5,509.31"
Adult & Community Services,Residential Care,Rnid,"5,472.56"
Adult & Community Services,Residential Care,Rnid,"5,472.56"
Adult & Community Services,Residential Care,Care Management Group Limited,"5,456.36"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"5,452.24"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"5,452.24"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"5,452.24"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"5,452.24"
Environment,Comms Data Lines,Virgin Media Payments Ltd T/A,"5,432.00"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,430.72"
Childrens' & Cultural Services,Other Local Authorit,Royal Borough Of Kingston,"5,419.00"
Adult & Community Services,Residential Care,Brookdale Healthcare Ltd,"5,400.00"
Adult & Community Services,Residential Care,The Home Farm Trust Ltd,"5,373.28"
Adult & Community Services,Nursing Care,Grafton Manor,"5,368.80"
Adult & Community Services,Nursing Care,Grafton Manor,"5,368.80"
Adult & Community Services,Residential Care,Pembroke Resource Centre,"5,345.32"
Environment,Parking Equipment,Parkeon Limited,"5,339.00"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,325.98"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,317.12"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,317.12"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,316.90"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,316.90"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,316.90"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,316.90"
Adult & Community Services,Residential Care,Craegmoor Facilities Company,"5,305.00"
Adult & Community Services,Nursing Care,Royal Hospital for,"5,304.90"
Housing,Assessible Trans Ser,Parker Car Service,"5,274.20"
Housing,Assessible Trans Ser,Oakmarket Group Ltd,"5,238.12"
Housing,Assessible Trans Ser,Bats - Accounts Office,"5,224.00"
Environment,Minor Contract Payme,Grundon Waste Management Ltd,"5,207.90"
Childrens' & Cultural Services,Library Books,Askews Library Services ltd,"5,206.77"
Childrens' & Cultural Services,Miscellaneous Client,Ashley Commercial Finance Ltd,"5,155.50"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.54"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.54"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.48"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.48"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.48"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.48"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,145.48"
Adult & Community Services,Nursing Care,Royal Hospital for,"5,133.77"
Childrens' & Cultural Services,Miscellaneous Client,Ashley Commercial Finance Ltd,"5,130.00"
Housing,Assessible Trans Ser,Parker Car Service,"5,116.20"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","5,113.02"
Childrens' & Cultural Services,External Consultants,Jill Roucroft,"5,100.00"
Adult & Community Services,Furniture & Equipmen,Care Management Group Limited,"5,008.71"
Adult & Community Services,Residential Care,Royal Mencap Society,"5,001.94"
Childrens' & Cultural Services,Additional School Bu,St Richards & St Andrews,"5,000.00"
Childrens' & Cultural Services,Grants Volunt Orgs,Richmond Council For,"5,000.00"
Childrens' & Cultural Services,Project Expenses,The Bridge,"5,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"5,000.00"
Environment,Property Maintenance,Building Automation Solutions Ltd,"4,989.12"
Adult & Community Services,Residential Care,High Hurlands Homes,"4,985.51"
Adult & Community Services,Day Care,Camphill Village Trust,"4,974.58"
Housing,Assessible Trans Ser,Oakmarket Group Ltd,"4,946.15"
Finance & Corporate Services,Subscriptions,CIPFA Business Limited,"4,945.00"
Finance & Corporate Services,External Premises HC,RUTC Trading Services Ltd,"4,941.09"
Childrens' & Cultural Services,Legal Fees,DVIP,"4,935.00"
