income_id,date,amount,category,payment_method
74,2022-02-28,7630.13,Passive,Bank Transfer
75,2023-05-20,8852.5,Secondary,Bank Transfer
76,2023-01-27,8549.72,Secondary,Bank Transfer
77,2022-06-29,7830.03,Primary,Bank Transfer
78,2022-10-15,8392.44,Passive,Bank Transfer
79,2022-08-06,8086.13,Secondary,Online
80,2022-03-12,4409.84,Secondary,Bank Transfer
81,2023-02-10,6623.43,Secondary,Online
82,2023-05-24,8091.54,Passive,Bank Transfer
83,2022-09-23,3914.13,Primary,Bank Transfer
84,2023-02-22,9065.14,Primary,Bank Transfer
85,2023-09-25,6229.61,Primary,Online
86,2022-11-05,8600.66,Secondary,Online
87,2023-01-07,5639.82,Primary,Bank Transfer
88,2023-05-01,8497.21,Secondary,Online
89,2023-02-28,3531.55,Secondary,Online
90,2022-01-23,7456.93,Secondary,Online
91,2022-05-24,4942.34,Passive,Bank Transfer
92,2022-08-05,8633.46,Primary,Bank Transfer
93,2022-12-27,9784.17,Passive,Bank Transfer
94,2022-05-09,9604.98,Secondary,Online
95,2023-11-30,4387.12,Primary,Bank Transfer
96,2023-01-12,9347.52,Secondary,Online
97,2022-12-03,2459.02,Passive,Bank Transfer
98,2023-08-29,2180.4,Secondary,Bank Transfer
99,2023-07-12,8520.71,Primary,Bank Transfer
100,2023-05-28,3767.05,Secondary,Online
101,2023-10-19,4660.9,Secondary,Online
102,2023-01-17,4887.03,Passive,Bank Transfer
103,2022-04-08,8002.3,Primary,Online
104,2023-04-08,9315.82,Passive,Online
105,2023-05-24,9916.11,Primary,Online
106,2022-09-07,5199.84,Primary,Online
107,2022-01-31,9930.38,Passive,Online
108,2022-06-13,3304.61,Passive,Online
109,2022-10-07,8268.95,Secondary,Online
110,2023-02-11,5307.58,Primary,Bank Transfer
111,2022-01-21,1651.22,Primary,Online
112,2022-03-30,244.34,Secondary,Online
113,2023-08-12,446.52,Secondary,Online
114,2023-02-10,9355.16,Passive,Bank Transfer
115,2023-04-23,1968.8,Passive,Online
116,2023-06-10,8031.29,Primary,Online
117,2022-10-09,5195.06,Primary,Bank Transfer
118,2023-01-01,4789.0,Secondary,Bank Transfer
119,2022-09-05,9612.2,Primary,Online
120,2023-07-24,6589.17,Primary,Bank Transfer
121,2022-05-25,2856.58,Primary,Bank Transfer
122,2023-01-29,5245.98,Primary,Online
123,2022-06-12,9242.82,Secondary,Online
124,2023-07-16,6349.09,Primary,Bank Transfer
125,2022-02-10,3344.76,Passive,Online
126,2023-02-17,1268.83,Primary,Bank Transfer
127,2022-02-19,3909.98,Primary,Online
128,2023-09-29,5870.29,Secondary,Online
129,2022-07-02,6773.19,Passive,Online
130,2023-10-25,6601.12,Primary,Online
131,2023-07-31,4303.46,Primary,Online
132,2022-08-21,5303.6,Secondary,Bank Transfer
133,2022-01-23,359.73,Primary,Online
134,2022-12-04,7219.96,Primary,Bank Transfer
135,2023-12-19,8478.25,Primary,Online
136,2022-03-31,6097.71,Passive,Online
137,2022-11-25,9724.62,Secondary,Online
138,2023-01-01,5375.17,Primary,Bank Transfer
139,2023-01-05,4434.96,Primary,Bank Transfer
140,2022-03-23,9559.2,Passive,Online
141,2023-12-24,7261.18,Passive,Online
142,2023-12-03,3968.8,Primary,Online
143,2023-06-13,4192.06,Passive,Bank Transfer
144,2022-12-17,9273.26,Primary,Bank Transfer
145,2022-10-07,2627.73,Passive,Online
146,2022-02-02,8810.53,Primary,Bank Transfer
147,2023-09-01,2136.16,Passive,Online
148,2022-04-01,6092.89,Secondary,Online
149,2022-09-10,3396.41,Primary,Online
150,2022-01-16,7610.98,Primary,Online
151,2023-08-16,7558.01,Passive,Bank Transfer
152,2023-03-12,1599.79,Secondary,Online
153,2022-10-08,8642.81,Secondary,Online
154,2023-07-05,9119.69,Secondary,Online
155,2022-06-05,2059.44,Passive,Bank Transfer
156,2023-08-18,3191.69,Passive,Online
157,2023-04-24,3932.33,Primary,Online
158,2022-05-16,5587.6,Primary,Bank Transfer
159,2022-03-30,5825.75,Passive,Online
160,2023-04-28,1035.33,Passive,Bank Transfer
161,2023-07-25,6897.81,Primary,Bank Transfer
162,2023-06-14,4332.57,Passive,Bank Transfer
163,2023-01-13,9597.07,Secondary,Bank Transfer
164,2023-04-04,3312.49,Passive,Online
165,2023-08-05,2809.25,Primary,Online
166,2022-08-26,4774.37,Passive,Online
167,2023-10-05,6692.34,Secondary,Online
168,2023-09-27,1943.62,Passive,Online
169,2023-12-29,7624.86,Primary,Bank Transfer
170,2022-05-03,5348.18,Passive,Online
171,2023-09-17,2958.93,Secondary,Bank Transfer
172,2022-12-09,5467.25,Secondary,Bank Transfer
173,2023-02-20,4557.79,Passive,Online
174,2023-06-09,1926.96,Passive,Bank Transfer
175,2023-01-13,8584.24,Passive,Bank Transfer
176,2023-06-19,8891.75,Secondary,Online
177,2023-05-03,5769.74,Primary,Online
178,2023-11-04,911.21,Primary,Bank Transfer
179,2023-04-09,6876.86,Primary,Online
180,2023-07-10,6522.91,Passive,Online
181,2022-04-14,7602.05,Primary,Online
182,2022-06-09,3138.22,Passive,Online
183,2022-10-29,9201.28,Passive,Online
184,2023-08-06,3237.83,Passive,Online
185,2023-01-02,9243.9,Secondary,Online
186,2023-05-06,913.0,Passive,Online
187,2022-03-29,9271.1,Secondary,Online
188,2023-11-20,889.41,Passive,Bank Transfer
189,2022-05-26,4319.82,Secondary,Bank Transfer
190,2022-04-25,6932.76,Passive,Online
191,2022-02-19,2507.07,Primary,Bank Transfer
192,2022-02-11,3757.92,Secondary,Bank Transfer
193,2023-10-16,9201.18,Primary,Online
194,2022-11-16,7723.04,Primary,Bank Transfer
195,2022-10-23,3800.0,Passive,Online
196,2023-04-09,306.79,Passive,Online
197,2022-01-01,5150.65,Passive,Online
198,2023-11-12,6645.92,Primary,Online
199,2022-09-02,6480.02,Secondary,Bank Transfer
200,2023-07-07,3536.84,Passive,Online
201,2022-07-27,2350.01,Passive,Online
202,2023-09-18,8203.32,Secondary,Online
203,2023-02-07,1969.23,Primary,Online
204,2023-04-13,698.76,Passive,Online
205,2022-09-03,2368.77,Passive,Online
206,2023-08-06,8219.73,Secondary,Online
207,2022-09-25,6099.5,Primary,Online
208,2023-01-08,6950.65,Secondary,Online
209,2023-10-12,2505.49,Secondary,Online
210,2023-10-28,7380.09,Passive,Bank Transfer
211,2022-01-13,5932.85,Secondary,Bank Transfer
212,2022-04-19,7726.53,Primary,Online
213,2023-03-12,4281.58,Primary,Online
214,2023-02-12,9630.95,Passive,Online
215,2022-11-06,7134.43,Secondary,Online
216,2022-05-24,6078.98,Primary,Bank Transfer
217,2023-06-17,5620.7,Secondary,Bank Transfer
218,2023-11-03,3555.9,Secondary,Bank Transfer
219,2022-09-26,8104.54,Secondary,Online
220,2023-10-21,9106.03,Passive,Bank Transfer
221,2023-01-08,4963.96,Primary,Bank Transfer
222,2023-10-19,7164.02,Primary,Online
223,2023-04-12,6818.98,Passive,Online
224,2022-02-15,5474.61,Secondary,Online
225,2022-11-30,5698.02,Secondary,Online
226,2022-02-17,1180.55,Secondary,Bank Transfer
227,2023-09-14,9826.36,Primary,Online
228,2023-01-23,8709.73,Passive,Online
229,2022-04-19,7659.85,Secondary,Bank Transfer
230,2023-09-25,4856.68,Passive,Bank Transfer
231,2022-06-01,8414.18,Secondary,Bank Transfer
232,2022-12-18,3299.37,Primary,Online
233,2022-06-05,8352.21,Secondary,Bank Transfer
234,2023-05-02,7504.76,Primary,Bank Transfer
235,2022-01-08,2036.33,Secondary,Online
236,2023-01-28,2933.42,Secondary,Bank Transfer
237,2022-10-13,4621.13,Secondary,Bank Transfer
238,2023-02-07,7822.78,Secondary,Bank Transfer
239,2023-09-11,8039.54,Primary,Bank Transfer
240,2023-04-19,3292.52,Secondary,Bank Transfer
241,2022-08-15,1620.23,Primary,Online
242,2023-07-26,5918.93,Passive,Online
243,2022-06-08,4843.18,Secondary,Online
244,2022-08-29,63.45,Secondary,Online
245,2022-11-27,1674.46,Passive,Bank Transfer
246,2023-02-22,3110.97,Secondary,Online
247,2022-09-13,3380.41,Passive,Bank Transfer
248,2023-07-24,4980.8,Primary,Online
249,2022-07-31,7713.57,Passive,Bank Transfer
250,2022-04-12,3364.63,Passive,Online
251,2023-01-22,7545.5,Secondary,Bank Transfer
252,2023-05-27,9337.48,Passive,Online
253,2023-03-17,634.5,Primary,Bank Transfer
254,2022-01-02,4072.18,Secondary,Online
255,2023-01-22,4376.99,Primary,Bank Transfer
256,2022-02-20,182.64,Secondary,Online
257,2022-10-05,5390.19,Passive,Online
258,2023-10-30,6733.72,Secondary,Bank Transfer
259,2022-09-09,5871.18,Secondary,Online
260,2022-07-16,2879.1,Passive,Bank Transfer
261,2022-10-11,4537.21,Primary,Online
262,2022-06-25,6372.18,Passive,Bank Transfer
263,2022-06-18,7275.31,Passive,Online
264,2022-09-12,423.79,Passive,Online
265,2022-04-05,7313.01,Passive,Bank Transfer
266,2023-05-23,8238.13,Passive,Bank Transfer
267,2023-02-17,2138.28,Passive,Online
268,2022-07-29,9393.61,Primary,Bank Transfer
269,2022-06-14,8350.64,Passive,Online
270,2022-03-17,8441.59,Primary,Online
271,2023-10-25,8422.19,Secondary,Bank Transfer
272,2023-12-04,8143.35,Passive,Online
273,2022-12-26,1903.66,Secondary,Bank Transfer
274,2023-08-15,1512.58,Primary,Bank Transfer
275,2023-02-19,4229.15,Passive,Online
276,2023-05-26,6906.66,Secondary,Online
277,2023-05-22,484.28,Passive,Bank Transfer
278,2022-07-27,2133.14,Primary,Online
279,2022-12-27,5660.35,Passive,Online
280,2023-12-09,6288.94,Primary,Bank Transfer
281,2022-08-10,2515.31,Secondary,Bank Transfer
282,2022-06-26,1346.08,Primary,Online
283,2022-10-04,6574.61,Passive,Bank Transfer
284,2023-10-24,205.65,Passive,Bank Transfer
285,2022-11-04,9712.3,Primary,Online
286,2022-11-18,3928.36,Passive,Bank Transfer
287,2023-03-07,4552.05,Passive,Bank Transfer
288,2023-09-09,6545.5,Passive,Online
289,2022-05-19,8215.35,Passive,Bank Transfer
290,2023-12-08,1490.8,Passive,Online
291,2023-03-20,8343.12,Primary,Bank Transfer
292,2022-06-04,3995.78,Passive,Bank Transfer
293,2023-02-20,3086.41,Secondary,Online
294,2023-08-13,2860.53,Passive,Online
295,2023-10-21,4377.54,Secondary,Online
296,2022-01-09,3870.95,Primary,Bank Transfer
297,2023-11-07,2229.97,Passive,Online
298,2022-03-06,8900.44,Passive,Bank Transfer
299,2023-08-23,3796.82,Secondary,Online
300,2023-02-06,432.57,Passive,Bank Transfer
301,2023-12-20,8347.23,Passive,Online
302,2023-09-01,5782.04,Passive,Online
303,2023-03-16,3613.03,Secondary,Bank Transfer
304,2022-10-04,2884.95,Primary,Online
305,2022-11-11,1706.34,Primary,Online
306,2022-10-15,6116.22,Secondary,Online
307,2022-08-24,4391.01,Passive,Bank Transfer
308,2023-09-25,8977.92,Passive,Online
309,2023-01-05,1227.54,Primary,Online
310,2022-12-30,982.8,Secondary,Online
311,2022-05-31,8802.36,Secondary,Bank Transfer
312,2023-03-20,5952.73,Primary,Online
313,2022-08-13,7022.13,Primary,Online
314,2022-10-11,3173.11,Primary,Online
315,2023-05-18,3871.26,Secondary,Bank Transfer
316,2022-11-22,904.49,Primary,Online
317,2023-08-29,9570.28,Primary,Bank Transfer
318,2023-06-04,7880.26,Passive,Bank Transfer
319,2022-04-07,7149.57,Primary,Online
320,2022-06-10,8763.6,Primary,Online
321,2023-01-14,8318.98,Primary,Bank Transfer
322,2023-12-18,9659.15,Passive,Bank Transfer
323,2022-10-28,8181.35,Secondary,Online
324,2022-12-10,7231.15,Primary,Online
325,2022-01-29,7925.26,Primary,Bank Transfer
326,2022-12-20,2738.64,Primary,Bank Transfer
327,2023-10-06,1996.52,Primary,Bank Transfer
328,2023-10-18,6456.06,Passive,Online
329,2022-03-08,801.59,Secondary,Online
330,2023-05-29,9744.67,Secondary,Bank Transfer
331,2023-10-31,6879.3,Secondary,Online
332,2022-01-03,1999.05,Passive,Bank Transfer
333,2023-10-17,4394.46,Primary,Online
334,2023-11-06,1537.82,Primary,Online
335,2022-07-24,3796.17,Primary,Online
336,2022-07-05,7868.39,Passive,Bank Transfer
337,2023-04-19,51.63,Passive,Bank Transfer
338,2023-12-14,9344.63,Secondary,Bank Transfer
339,2023-03-12,6078.62,Passive,Online
340,2023-02-24,1504.79,Secondary,Bank Transfer
341,2023-08-11,7659.59,Primary,Bank Transfer
342,2022-04-04,9985.39,Secondary,Bank Transfer
343,2022-02-13,5922.23,Secondary,Bank Transfer
344,2022-03-10,2924.83,Secondary,Online
345,2023-02-03,7701.81,Primary,Bank Transfer
346,2022-08-03,2857.27,Secondary,Online
347,2022-12-13,5537.91,Secondary,Online
348,2023-02-19,4389.89,Secondary,Bank Transfer
349,2022-12-12,6317.11,Secondary,Online
350,2023-03-25,254.88,Secondary,Bank Transfer
351,2023-09-25,4995.81,Passive,Bank Transfer
352,2023-07-21,2403.65,Primary,Online
353,2022-10-12,9692.72,Secondary,Online
354,2023-05-21,2267.89,Passive,Online
355,2023-01-26,8919.05,Primary,Bank Transfer
356,2023-05-08,6107.62,Passive,Online
357,2023-02-22,2492.81,Primary,Bank Transfer
358,2022-02-02,3586.03,Primary,Bank Transfer
359,2022-04-06,1080.81,Primary,Bank Transfer
360,2023-10-07,7694.98,Primary,Online
361,2023-11-03,8862.66,Primary,Online
362,2022-10-22,6805.82,Passive,Online
363,2022-03-31,2719.6,Passive,Online
364,2023-06-12,9565.02,Passive,Bank Transfer
365,2022-05-31,5902.75,Primary,Bank Transfer
366,2023-05-02,8645.85,Primary,Online
367,2022-02-13,217.27,Passive,Online
368,2023-10-05,61.05,Passive,Online
369,2023-01-03,6256.86,Secondary,Online
370,2023-08-31,7884.77,Passive,Online
371,2023-06-06,3462.34,Secondary,Online
372,2022-02-17,5250.53,Primary,Bank Transfer
373,2022-10-16,4061.68,Secondary,Online
374,2022-08-23,9266.27,Primary,Online
375,2022-09-23,4354.54,Primary,Bank Transfer
376,2022-04-11,6810.83,Primary,Bank Transfer
377,2023-04-09,2049.71,Primary,Bank Transfer
378,2023-03-20,8633.3,Passive,Bank Transfer
379,2022-05-13,5550.53,Secondary,Online
380,2023-03-12,1123.06,Passive,Bank Transfer
381,2022-01-27,3733.0,Primary,Online
382,2023-09-12,7793.91,Passive,Bank Transfer
383,2023-03-29,5713.29,Passive,Online
384,2023-12-20,6586.21,Primary,Online
385,2022-10-19,1949.23,Passive,Online
386,2022-09-17,5020.22,Passive,Online
387,2022-04-08,6121.54,Passive,Online
388,2022-05-13,3875.53,Primary,Bank Transfer
389,2022-05-29,9364.89,Primary,Online
390,2022-09-13,5450.11,Passive,Bank Transfer
391,2022-09-26,8340.91,Passive,Bank Transfer
392,2022-05-05,694.08,Passive,Bank Transfer
393,2022-11-28,2481.46,Secondary,Online
394,2023-02-07,4122.09,Primary,Bank Transfer
395,2023-03-10,169.21,Passive,Online
396,2022-12-18,301.24,Passive,Bank Transfer
397,2022-09-22,130.94,Passive,Online
398,2023-06-13,4002.51,Secondary,Online
399,2023-04-21,9819.75,Secondary,Online
400,2023-07-21,2176.67,Secondary,Bank Transfer
401,2022-05-02,8343.74,Passive,Online
402,2023-02-03,2754.1,Primary,Online
403,2022-10-12,5679.86,Primary,Online
404,2022-09-19,2288.95,Primary,Online
405,2023-06-23,5822.38,Primary,Online
406,2023-05-16,3134.63,Primary,Bank Transfer
407,2022-11-19,8246.62,Secondary,Online
408,2023-09-24,8763.51,Primary,Bank Transfer
409,2023-06-07,6789.22,Secondary,Bank Transfer
410,2022-07-27,3283.78,Secondary,Bank Transfer
411,2023-11-18,976.4,Passive,Online
412,2022-08-26,5782.77,Primary,Online
413,2022-01-16,9504.17,Secondary,Bank Transfer
414,2023-07-20,5706.42,Primary,Bank Transfer
415,2022-09-17,5215.3,Passive,Bank Transfer
416,2022-03-14,2596.92,Secondary,Online
417,2023-02-03,2125.07,Secondary,Online
418,2023-10-09,1956.23,Passive,Bank Transfer
419,2023-10-02,2439.12,Primary,Bank Transfer
420,2022-10-21,663.28,Primary,Online
421,2022-11-29,2000.07,Secondary,Bank Transfer
422,2022-02-06,2635.45,Secondary,Online
423,2022-10-01,7597.4,Secondary,Online
424,2022-01-04,2468.99,Passive,Bank Transfer
425,2022-04-29,457.36,Primary,Online
426,2023-02-11,2799.07,Primary,Bank Transfer
427,2023-01-19,8109.97,Secondary,Online
428,2023-07-24,3412.35,Secondary,Online
429,2022-12-25,213.85,Passive,Online
430,2022-01-01,1507.27,Primary,Online
431,2022-06-29,4324.58,Primary,Online
432,2022-05-02,1519.48,Secondary,Online
433,2023-12-25,5744.07,Primary,Bank Transfer
434,2023-06-25,8859.25,Passive,Bank Transfer
435,2023-12-21,1917.89,Primary,Online
436,2022-03-24,96.15,Passive,Online
437,2022-03-18,9049.47,Secondary,Bank Transfer
438,2022-02-04,9595.31,Passive,Bank Transfer
439,2022-06-26,7380.27,Passive,Bank Transfer
440,2023-06-11,8685.46,Secondary,Bank Transfer
441,2023-10-08,6184.12,Passive,Bank Transfer
442,2022-08-13,393.99,Primary,Bank Transfer
443,2022-05-13,6276.07,Passive,Bank Transfer
444,2022-09-15,965.87,Passive,Online
445,2022-06-04,3481.12,Primary,Bank Transfer
446,2022-04-17,2144.92,Passive,Online
447,2022-11-16,8736.15,Primary,Online
448,2023-11-05,1648.49,Secondary,Online
449,2022-05-29,8898.46,Primary,Bank Transfer
450,2023-06-13,4287.27,Secondary,Bank Transfer
451,2022-11-10,5651.34,Passive,Bank Transfer
452,2022-03-21,1222.93,Passive,Bank Transfer
453,2022-05-13,2139.26,Primary,Bank Transfer
454,2023-10-27,4396.76,Secondary,Bank Transfer
455,2023-06-27,8382.84,Passive,Bank Transfer
456,2023-08-24,808.35,Passive,Online
457,2022-01-21,5567.23,Primary,Online
458,2022-07-04,8048.74,Secondary,Online
459,2023-09-14,5018.82,Primary,Bank Transfer
460,2023-12-15,2474.48,Passive,Bank Transfer
461,2023-12-17,1661.01,Primary,Bank Transfer
462,2023-02-02,2246.2,Primary,Online
463,2023-01-11,5849.94,Primary,Bank Transfer
464,2023-05-25,1073.85,Primary,Online
465,2023-06-08,118.42,Secondary,Online
466,2023-10-24,6535.98,Secondary,Bank Transfer
467,2023-11-12,872.56,Primary,Bank Transfer
468,2023-08-22,387.51,Secondary,Online
469,2023-10-12,4114.28,Primary,Bank Transfer
470,2022-11-01,7122.83,Primary,Online
471,2023-08-18,1735.51,Passive,Online
472,2022-02-20,2472.04,Secondary,Online
473,2022-07-16,1466.73,Passive,Bank Transfer
474,2023-04-23,5850.05,Secondary,Online
475,2022-03-30,7177.27,Primary,Online
476,2023-09-29,6106.12,Passive,Bank Transfer
477,2023-10-17,4800.38,Primary,Bank Transfer
478,2022-08-16,1834.3,Primary,Online
479,2022-09-28,8054.86,Passive,Bank Transfer
480,2022-12-11,7121.84,Passive,Online
481,2023-02-04,1750.96,Secondary,Bank Transfer
482,2023-03-12,4614.57,Secondary,Bank Transfer
483,2022-03-07,6815.7,Primary,Online
484,2022-07-08,7048.5,Secondary,Bank Transfer
485,2023-04-16,775.06,Passive,Online
486,2022-02-10,8374.86,Primary,Bank Transfer
487,2022-10-16,2519.53,Secondary,Bank Transfer
488,2022-10-30,1983.78,Primary,Online
489,2022-12-21,3992.16,Passive,Bank Transfer
490,2022-07-12,7716.09,Primary,Bank Transfer
491,2023-03-05,5982.59,Secondary,Bank Transfer
492,2023-04-08,816.22,Primary,Online
493,2023-02-23,3218.7,Passive,Bank Transfer
494,2023-11-17,2325.7,Passive,Online
495,2022-04-05,6897.69,Secondary,Online
496,2022-03-20,9853.17,Secondary,Bank Transfer
497,2022-06-28,2166.86,Primary,Bank Transfer
498,2022-09-04,4888.09,Primary,Bank Transfer
499,2023-04-05,8650.65,Secondary,Online
500,2022-07-30,3094.04,Passive,Bank Transfer
501,2023-10-05,2286.87,Passive,Bank Transfer
502,2023-04-27,1479.14,Secondary,Online
503,2022-09-28,675.01,Primary,Bank Transfer
504,2023-04-22,4510.65,Primary,Bank Transfer
505,2023-05-01,7633.16,Primary,Online
506,2023-05-22,3991.55,Primary,Bank Transfer
507,2023-02-27,1409.09,Primary,Bank Transfer
508,2023-11-01,9442.36,Primary,Online
509,2023-07-12,5980.84,Passive,Online
510,2022-02-21,1234.89,Primary,Online
511,2023-09-22,2697.82,Passive,Online
512,2022-10-28,5352.2,Secondary,Bank Transfer
513,2022-02-02,5196.0,Primary,Online
514,2022-02-13,4535.34,Passive,Bank Transfer
515,2022-02-24,687.67,Passive,Online
516,2022-07-13,1138.65,Passive,Bank Transfer
517,2022-03-05,6265.7,Primary,Online
518,2023-09-28,2265.23,Passive,Bank Transfer
519,2023-11-12,5983.87,Primary,Bank Transfer
520,2023-10-18,1377.16,Passive,Bank Transfer
521,2022-04-27,1712.16,Passive,Online
522,2022-03-16,7066.82,Primary,Bank Transfer
523,2023-07-04,579.26,Passive,Online
524,2023-07-04,3956.1,Passive,Online
525,2022-08-21,5196.31,Secondary,Online
526,2023-05-28,7388.14,Secondary,Online
527,2023-02-09,4814.99,Passive,Online
528,2023-12-09,2481.93,Passive,Online
529,2023-02-03,9696.02,Secondary,Bank Transfer
530,2023-01-28,1017.36,Primary,Bank Transfer
531,2022-11-05,9675.7,Primary,Online
532,2023-04-20,7465.85,Passive,Online
533,2023-07-08,2625.23,Secondary,Bank Transfer
534,2023-06-10,1298.17,Secondary,Online
535,2022-06-29,5025.54,Passive,Bank Transfer
536,2023-12-07,5633.06,Secondary,Online
537,2022-11-16,6688.48,Secondary,Online
538,2023-11-24,3669.3,Secondary,Online
539,2022-11-21,4362.9,Secondary,Bank Transfer
540,2023-10-06,7061.45,Secondary,Bank Transfer
541,2022-08-21,7839.88,Secondary,Bank Transfer
542,2023-01-28,6530.26,Passive,Bank Transfer
543,2023-10-23,1903.2,Passive,Bank Transfer
544,2023-04-11,5503.71,Secondary,Bank Transfer
545,2022-04-20,4592.02,Passive,Online
546,2022-12-01,1872.28,Primary,Bank Transfer
547,2022-11-28,3701.68,Passive,Online
548,2022-08-02,2420.61,Passive,Online
549,2023-11-10,8436.72,Passive,Bank Transfer
550,2022-09-09,442.0,Secondary,Bank Transfer
551,2023-08-22,7033.24,Passive,Bank Transfer
552,2023-03-31,7108.02,Passive,Online
553,2023-10-28,6086.85,Secondary,Online
554,2023-04-03,9268.95,Passive,Bank Transfer
555,2023-12-25,2961.52,Secondary,Bank Transfer
556,2023-12-27,7789.55,Passive,Online
557,2022-07-31,7799.02,Passive,Online
558,2023-08-17,4462.67,Secondary,Online
559,2023-04-23,7538.81,Passive,Bank Transfer
560,2022-09-27,4486.45,Passive,Online
561,2022-02-16,3452.45,Passive,Online
562,2023-09-09,1587.77,Passive,Online
563,2022-03-27,2620.1,Passive,Online
564,2022-12-10,9480.79,Secondary,Online
565,2023-10-27,7206.0,Primary,Online
566,2022-02-08,5232.77,Passive,Bank Transfer
567,2023-09-09,5363.34,Passive,Online
568,2023-12-29,1618.82,Primary,Online
569,2022-08-16,3798.58,Primary,Online
570,2023-08-08,8190.69,Secondary,Bank Transfer
571,2023-08-18,1923.66,Passive,Online
572,2023-12-20,6116.31,Primary,Bank Transfer
573,2022-05-09,4214.55,Secondary,Online
574,2023-05-02,3618.54,Primary,Online
575,2022-05-10,7211.74,Secondary,Bank Transfer
576,2023-10-28,8059.54,Passive,Bank Transfer
577,2022-12-10,4182.11,Secondary,Online
578,2022-11-25,8185.01,Passive,Bank Transfer
579,2022-03-25,3714.18,Passive,Online
580,2023-04-29,2784.18,Secondary,Online
581,2023-09-06,3945.09,Secondary,Online
582,2023-01-19,5178.03,Primary,Online
583,2022-05-08,664.9,Passive,Online
584,2022-02-08,3947.65,Primary,Online
585,2023-03-18,2929.12,Primary,Bank Transfer
586,2022-03-14,4754.1,Primary,Bank Transfer
587,2023-05-14,4307.53,Passive,Online
588,2023-07-16,6752.72,Primary,Online
589,2022-11-22,6893.36,Passive,Online
590,2023-01-31,4878.88,Secondary,Online
591,2022-07-12,2406.58,Primary,Bank Transfer
592,2022-06-17,6112.6,Secondary,Online
593,2023-03-18,2426.95,Secondary,Bank Transfer
594,2022-03-21,5018.22,Passive,Online
